date_time,open,high,low,close,volume
2011-12-27,2009.8,2009.8,2009.8,2009.8,0
2011-12-28,1989.6,1989.6,1989.6,1989.6,0
2011-12-29,1973.0,1973.0,1973.0,1973.0,0
2011-12-30,1971.3,1971.3,1971.3,1971.3,0
2012-01-02,1969.9,1969.9,1969.9,1969.9,0
2012-01-03,2025.4,2025.4,2025.4,2025.4,0
2012-01-04,2025.5,2025.5,2025.5,2025.5,0
2012-01-05,2027.3,2027.3,2027.3,2027.3,0
2012-01-06,2024.6,2024.6,2024.6,2024.6,0
2012-01-07,2029.8,2029.8,2029.8,2029.8,0
2012-01-09,2036.2,2036.2,2036.2,2036.2,0
2012-01-10,2083.19,2083.19,2083.19,2083.19,0
2012-01-11,2099.0,2099.0,2099.0,2099.0,0
2012-01-12,2102.69,2102.69,2102.69,2102.69,0
2012-01-13,2117.6,2117.6,2117.6,2117.6,0
2012-01-16,2119.69,2119.69,2119.69,2119.69,0
2012-01-17,2153.6,2153.6,2153.6,2153.6,0
2012-01-18,2136.5,2136.5,2136.5,2136.5,0
2012-01-19,2163.9,2163.9,2163.9,2163.9,0
2012-01-20,2175.69,2175.69,2175.69,2175.69,0
2012-01-23,2177.6,2177.6,2177.6,2177.6,0
2012-01-24,2214.0,2214.0,2214.0,2214.0,0
2012-01-25,2239.3,2239.3,2239.3,2239.3,0
2012-01-27,2253.3,2253.3,2253.3,2253.3,0
2012-01-30,2204.19,2204.19,2204.19,2204.19,0
2012-01-31,2253.3,2253.3,2253.3,2253.3,0
2012-02-01,2276.1,2276.1,2276.1,2276.1,0
2012-02-02,2292.5,2292.5,2292.5,2292.5,0
2012-02-03,2318.1,2318.1,2318.1,2318.1,0
2012-02-06,2341.9,2341.9,2341.9,2341.9,0
2012-02-07,2321.6,2321.6,2321.6,2321.6,0
2012-02-08,2343.1,2343.1,2343.1,2343.1,0
2012-02-09,2367.19,2367.19,2367.19,2367.19,0
2012-02-10,2364.0,2364.0,2364.0,2364.0,0
2012-02-13,2369.5,2369.5,2369.5,2369.5,0
2012-02-14,2385.6,2385.6,2385.6,2385.6,0
2012-02-15,2440.19,2440.19,2440.19,2440.19,0
2012-02-16,2448.0,2448.0,2448.0,2448.0,0
2012-02-17,2460.69,2460.69,2460.69,2460.69,0
2012-02-21,2480.4,2480.4,2480.4,2480.4,0
2012-02-22,2409.3,2409.3,2409.3,2409.3,0
2012-02-23,2398.6,2398.6,2398.6,2398.6,0
2012-02-24,2376.6,2376.6,2376.6,2376.6,0
2012-02-27,2307.6,2307.6,2307.6,2307.6,0
2012-02-28,2372.69,2372.69,2372.69,2372.69,0
2012-02-29,2392.3,2392.3,2392.3,2392.3,0
2012-03-01,2374.5,2374.5,2374.5,2374.5,0
2012-03-02,2376.6,2376.6,2376.6,2376.6,0
2012-03-03,2377.9,2377.9,2377.9,2377.9,0
2012-03-05,2342.1,2342.1,2342.1,2342.1,0
2012-03-06,2318.19,2318.19,2318.19,2318.19,0
2012-03-07,2316.69,2316.69,2316.69,2316.69,0
2012-03-09,2371.69,2371.69,2371.69,2371.69,0
2012-03-12,2391.4,2391.4,2391.4,2391.4,0
2012-03-13,2420.0,2420.0,2420.0,2420.0,0
2012-03-14,2433.69,2433.69,2433.69,2433.69,0
2012-03-15,2394.6,2394.6,2394.6,2394.6,0
2012-03-16,2368.69,2368.69,2368.69,2368.69,0
2012-03-19,2340.69,2340.69,2340.69,2340.69,0
2012-03-20,2355.69,2355.69,2355.69,2355.69,0
2012-03-21,2401.19,2401.19,2401.19,2401.19,0
2012-03-22,2342.0,2342.0,2342.0,2342.0,0
2012-03-23,2361.8,2361.8,2361.8,2361.8,0
2012-03-26,2320.6,2320.6,2320.6,2320.6,0
2012-03-27,2334.0,2334.0,2334.0,2334.0,0
2012-03-28,2311.5,2311.5,2311.5,2311.5,0
2012-03-29,2311.69,2311.69,2311.69,2311.69,0
2012-03-30,2368.3,2368.3,2368.3,2368.3,0
2012-04-02,2385.5,2385.5,2385.5,2385.5,0
2012-04-03,2406.19,2406.19,2406.19,2406.19,0
2012-04-04,2400.3,2400.3,2400.3,2400.3,0
2012-04-09,2362.4,2362.4,2362.4,2362.4,0
2012-04-10,2360.4,2360.4,2360.4,2360.4,0
2012-04-11,2348.4,2348.4,2348.4,2348.4,0
2012-04-12,2369.1,2369.1,2369.1,2369.1,0
2012-04-13,2343.9,2343.9,2343.9,2343.9,0
2012-04-16,2356.6,2356.6,2356.6,2356.6,0
2012-04-17,2378.6,2378.6,2378.6,2378.6,0
2012-04-18,2387.19,2387.19,2387.19,2387.19,0
2012-04-19,2395.3,2395.3,2395.3,2395.3,0
2012-04-20,2374.19,2374.19,2374.19,2374.19,0
2012-04-23,2333.6,2333.6,2333.6,2333.6,0
2012-04-24,2336.19,2336.19,2336.19,2336.19,0
2012-04-25,2324.5,2324.5,2324.5,2324.5,0
2012-04-26,2316.4,2316.4,2316.4,2316.4,0
2012-04-27,2314.4,2314.4,2314.4,2314.4,0
2012-04-28,2324.69,2324.69,2324.69,2324.69,0
2012-04-30,2341.3,2341.3,2341.3,2341.3,0
2012-05-02,2336.1,2336.1,2336.1,2336.1,0
2012-05-03,2311.5,2311.5,2311.5,2311.5,0
2012-05-04,2266.6,2266.6,2266.6,2266.6,0
2012-05-07,2278.0,2278.0,2278.0,2278.0,0
2012-05-08,2236.69,2236.69,2236.69,2236.69,0
2012-05-09,2219.1,2219.1,2219.1,2219.1,0
2012-05-10,2218.6,2218.6,2218.6,2218.6,0
2012-05-11,2201.4,2201.4,2201.4,2201.4,0
2012-05-14,2189.0,2189.0,2189.0,2189.0,0
2012-05-15,2202.3,2202.3,2202.3,2202.3,0
2012-05-16,2173.19,2173.19,2173.19,2173.19,0
2012-05-17,2174.9,2174.9,2174.9,2174.9,0
2012-05-18,2176.1,2176.1,2176.1,2176.1,0
2012-05-21,2185.69,2185.69,2185.69,2185.69,0
2012-05-22,2167.9,2167.9,2167.9,2167.9,0
2012-05-23,2157.69,2157.69,2157.69,2157.69,0
2012-05-24,2184.1,2184.1,2184.1,2184.1,0
2012-05-25,2190.4,2190.4,2190.4,2190.4,0
2012-05-28,2219.8,2219.8,2219.8,2219.8,0
2012-05-29,2217.69,2217.69,2217.69,2217.69,0
2012-05-30,2193.0,2193.0,2193.0,2193.0,0
2012-05-31,2194.1,2194.1,2194.1,2194.1,0
2012-06-01,2160.3,2160.3,2160.3,2160.3,0
2012-06-04,2157.6,2157.6,2157.6,2157.6,0
2012-06-05,2164.3,2164.3,2164.3,2164.3,0
2012-06-06,2213.1,2213.1,2213.1,2213.1,0
2012-06-07,2231.9,2231.9,2231.9,2231.9,0
2012-06-08,2239.9,2239.9,2239.9,2239.9,0
2012-06-11,2233.0,2233.0,2233.0,2233.0,0
2012-06-12,2254.8,2254.8,2254.8,2254.8,0
2012-06-13,2253.6,2253.6,2253.6,2253.6,0
2012-06-14,2223.19,2223.19,2223.19,2223.19,0
2012-06-15,2248.4,2248.4,2248.4,2248.4,0
2012-06-18,2219.6,2219.6,2219.6,2219.6,0
2012-06-19,2229.5,2229.5,2229.5,2229.5,0
2012-06-20,2245.19,2245.19,2245.19,2245.19,0
2012-06-21,2265.5,2265.5,2265.5,2265.5,0
2012-06-22,2262.19,2262.19,2262.19,2262.19,0
2012-06-25,2255.8,2255.8,2255.8,2255.8,0
2012-06-26,2264.4,2264.4,2264.4,2264.4,0
2012-06-27,2273.19,2273.19,2273.19,2273.19,0
2012-06-28,2274.5,2274.5,2274.5,2274.5,0
2012-06-29,2323.4,2323.4,2323.4,2323.4,0
2012-07-02,2334.6,2334.6,2334.6,2334.6,0
2012-07-03,2345.1,2345.1,2345.1,2345.1,0
2012-07-04,2357.1,2357.1,2357.1,2357.1,0
2012-07-05,2370.3,2370.3,2370.3,2370.3,0
2012-07-06,2359.9,2359.9,2359.9,2359.9,0
2012-07-09,2334.3,2334.3,2334.3,2334.3,0
2012-07-10,2362.3,2362.3,2362.3,2362.3,0
2012-07-11,2352.4,2352.4,2352.4,2352.4,0
2012-07-12,2331.4,2331.4,2331.4,2331.4,0
2012-07-13,2324.5,2324.5,2324.5,2324.5,0
2012-07-16,2312.6,2312.6,2312.6,2312.6,0
2012-07-17,2302.69,2302.69,2302.69,2302.69,0
2012-07-18,2312.19,2312.19,2312.19,2312.19,0
2012-07-19,2319.1,2319.1,2319.1,2319.1,0
2012-07-20,2309.69,2309.69,2309.69,2309.69,0
2012-07-23,2273.0,2273.0,2273.0,2273.0,0
2012-07-24,2280.4,2280.4,2280.4,2280.4,0
2012-07-25,2269.4,2269.4,2269.4,2269.4,0
2012-07-26,2234.0,2234.0,2234.0,2234.0,0
2012-07-27,2238.5,2238.5,2238.5,2238.5,0
2012-07-30,2279.0,2279.0,2279.0,2279.0,0
2012-07-31,2291.5,2291.5,2291.5,2291.5,0
2012-08-01,2303.9,2303.9,2303.9,2303.9,0
2012-08-02,2304.19,2304.19,2304.19,2304.19,0
2012-08-03,2300.4,2300.4,2300.4,2300.4,0
2012-08-06,2319.4,2319.4,2319.4,2319.4,0
2012-08-07,2335.5,2335.5,2335.5,2335.5,0
2012-08-08,2330.19,2330.19,2330.19,2330.19,0
2012-08-09,2324.5,2324.5,2324.5,2324.5,0
2012-08-10,2323.3,2323.3,2323.3,2323.3,0
2012-08-13,2339.19,2339.19,2339.19,2339.19,0
2012-08-14,2347.6,2347.6,2347.6,2347.6,0
2012-08-16,2343.6,2343.6,2343.6,2343.6,0
2012-08-17,2343.6,2343.6,2343.6,2343.6,0
2012-08-21,2357.1,2357.1,2357.1,2357.1,0
2012-08-22,2350.69,2350.69,2350.69,2350.69,0
2012-08-23,2349.0,2349.0,2349.0,2349.0,0
2012-08-24,2335.19,2335.19,2335.19,2335.19,0
2012-08-27,2316.9,2316.9,2316.9,2316.9,0
2012-08-28,2302.8,2302.8,2302.8,2302.8,0
2012-08-29,2287.5,2287.5,2287.5,2287.5,0
2012-08-30,2298.69,2298.69,2298.69,2298.69,0
2012-08-31,2285.69,2285.69,2285.69,2285.69,0
2012-09-03,2286.19,2286.19,2286.19,2286.19,0
2012-09-04,2298.0,2298.0,2298.0,2298.0,0
2012-09-05,2283.1,2283.1,2283.1,2283.1,0
2012-09-06,2288.69,2288.69,2288.69,2288.69,0
2012-09-07,2324.8,2324.8,2324.8,2324.8,0
2012-09-08,2333.1,2333.1,2333.1,2333.1,0
2012-09-10,2337.19,2337.19,2337.19,2337.19,0
2012-09-11,2342.6,2342.6,2342.6,2342.6,0
2012-09-12,2354.8,2354.8,2354.8,2354.8,0
2012-09-13,2355.19,2355.19,2355.19,2355.19,0
2012-09-14,2394.69,2394.69,2394.69,2394.69,0
2012-09-17,2420.69,2420.69,2420.69,2420.69,0
2012-09-18,2429.4,2429.4,2429.4,2429.4,0
2012-09-20,2411.5,2411.5,2411.5,2411.5,0
2012-09-21,2463.5,2463.5,2463.5,2463.5,0
2012-09-24,2465.69,2465.69,2465.69,2465.69,0
2012-09-25,2474.19,2474.19,2474.19,2474.19,0
2012-09-26,2476.69,2476.69,2476.69,2476.69,0
2012-09-27,2483.0,2483.0,2483.0,2483.0,0
2012-09-28,2508.6,2508.6,2508.6,2508.6,0
2012-10-01,2521.6,2521.6,2521.6,2521.6,0
2012-10-03,2532.5,2532.5,2532.5,2532.5,0
2012-10-04,2549.6,2549.6,2549.6,2549.6,0
2012-10-05,2532.3,2532.3,2532.3,2532.3,0
2012-10-08,2508.19,2508.19,2508.19,2508.19,0
2012-10-09,2522.1,2522.1,2522.1,2522.1,0
2012-10-10,2496.3,2496.3,2496.3,2496.3,0
2012-10-11,2525.6,2525.6,2525.6,2525.6,0
2012-10-12,2520.19,2520.19,2520.19,2520.19,0
2012-10-15,2521.19,2521.19,2521.19,2521.19,0
2012-10-16,2504.9,2504.9,2504.9,2504.9,0
2012-10-17,2508.0,2508.0,2508.0,2508.0,0
2012-10-18,2533.1,2533.1,2533.1,2533.1,0
2012-10-19,2520.3,2520.3,2520.3,2520.3,0
2012-10-22,2528.9,2528.9,2528.9,2528.9,0
2012-10-23,2518.8,2518.8,2518.8,2518.8,0
2012-10-25,2520.3,2520.3,2520.3,2520.3,0
2012-10-26,2498.5,2498.5,2498.5,2498.5,0
2012-10-29,2489.1,2489.1,2489.1,2489.1,0
2012-10-30,2462.9,2462.9,2462.9,2462.9,0
2012-10-31,2482.3,2482.3,2482.3,2482.3,0
2012-11-01,2498.4,2498.4,2498.4,2498.4,0
2012-11-02,2515.4,2515.4,2515.4,2515.4,0
2012-11-05,2515.3,2515.3,2515.3,2515.3,0
2012-11-06,2524.5,2524.5,2524.5,2524.5,0
2012-11-07,2545.3,2545.3,2545.3,2545.3,0
2012-11-08,2544.9,2544.9,2544.9,2544.9,0
2012-11-09,2522.4,2522.4,2522.4,2522.4,0
2012-11-12,2543.1,2543.1,2543.1,2543.1,0
2012-11-13,2548.1,2548.1,2548.1,2548.1,0
2012-11-15,2540.3,2540.3,2540.3,2540.3,0
2012-11-16,2514.69,2514.69,2514.69,2514.69,0
2012-11-19,2499.5,2499.5,2499.5,2499.5,0
2012-11-20,2491.4,2491.4,2491.4,2491.4,0
2012-11-21,2506.0,2506.0,2506.0,2506.0,0
2012-11-22,2516.5,2516.5,2516.5,2516.5,0
2012-11-23,2519.19,2519.19,2519.19,2519.19,0
2012-11-26,2542.1,2542.1,2542.1,2542.1,0
2012-11-27,2579.19,2579.19,2579.19,2579.19,0
2012-11-29,2612.19,2612.19,2612.19,2612.19,0
2012-11-30,2633.6,2633.6,2633.6,2633.6,0
